[ 2016-08-21T23:25:43+08:00 ] /testSkillMaster/index.php/Login/index | INFO: Tag[ route_check ] --START--
[ 2016-08-21T23:25:43+08:00 ] /testSkillMaster/index.php/Login/index | INFO: Run CheckRoute Behavior [ RunTime:0.002064s ]
[ 2016-08-21T23:25:43+08:00 ] /testSkillMaster/index.php/Login/index | INFO: Tag[ route_check ] --END-- [ RunTime:0.002191s ]
[ 2016-08-21T23:25:43+08:00 ] /testSkillMaster/index.php/Login/index | INFO: Tag[ app_begin ] --START--
[ 2016-08-21T23:25:43+08:00 ] /testSkillMaster/index.php/Login/index | INFO: Run ReadHtmlCache Behavior [ RunTime:0.001656s ]
[ 2016-08-21T23:25:43+08:00 ] /testSkillMaster/index.php/Login/index | INFO: Tag[ app_begin ] --END-- [ RunTime:0.001744s ]
[ 2016-08-21T23:25:43+08:00 ] /testSkillMaster/index.php/Login/index | INFO: Tag[ view_template ] --START--
[ 2016-08-21T23:25:43+08:00 ] /testSkillMaster/index.php/Login/index | INFO: Run LocationTemplate Behavior [ RunTime:0.005875s ]
[ 2016-08-21T23:25:43+08:00 ] /testSkillMaster/index.php/Login/index | INFO: Tag[ view_template ] --END-- [ RunTime:0.006005s ]
[ 2016-08-21T23:25:43+08:00 ] /testSkillMaster/index.php/Login/index | INFO: Tag[ view_parse ] --START--
[ 2016-08-21T23:25:43+08:00 ] /testSkillMaster/index.php/Login/index | INFO: Run ParseTemplate Behavior [ RunTime:0.024438s ]
[ 2016-08-21T23:25:43+08:00 ] /testSkillMaster/index.php/Login/index | INFO: Tag[ view_parse ] --END-- [ RunTime:0.024566s ]
[ 2016-08-21T23:25:43+08:00 ] /testSkillMaster/index.php/Login/index | INFO: Tag[ view_filter ] --START--
[ 2016-08-21T23:25:43+08:00 ] /testSkillMaster/index.php/Login/index | INFO: Run ContentReplace Behavior [ RunTime:0.003171s ]
[ 2016-08-21T23:25:43+08:00 ] /testSkillMaster/index.php/Login/index | INFO: Run TokenBuild Behavior [ RunTime:0.004658s ]
[ 2016-08-21T23:25:43+08:00 ] /testSkillMaster/index.php/Login/index | INFO: Run WriteHtmlCache Behavior [ RunTime:0.000954s ]
[ 2016-08-21T23:25:43+08:00 ] /testSkillMaster/index.php/Login/index | INFO: Run ShowRuntime Behavior [ RunTime:0.002499s ]
[ 2016-08-21T23:25:43+08:00 ] /testSkillMaster/index.php/Login/index | INFO: Tag[ view_filter ] --END-- [ RunTime:0.011646s ]
[ 2016-08-21T23:25:43+08:00 ] /testSkillMaster/index.php/Login/index | INFO: Tag[ view_end ] --START--
[ 2016-08-21T23:25:43+08:00 ] /testSkillMaster/index.php/Login/index | INFO: Run ShowPageTrace Behavior [ RunTime:0.001262s ]
[ 2016-08-21T23:25:43+08:00 ] /testSkillMaster/index.php/Login/index | INFO: Tag[ view_end ] --END-- [ RunTime:0.001348s ]
[ 2016-08-21T23:44:16+08:00 ] /testSkillMaster/index.php/Login/index | INFO: Tag[ route_check ] --START--
[ 2016-08-21T23:44:16+08:00 ] /testSkillMaster/index.php/Login/index | INFO: Run CheckRoute Behavior [ RunTime:0.002109s ]
[ 2016-08-21T23:44:16+08:00 ] /testSkillMaster/index.php/Login/index | INFO: Tag[ route_check ] --END-- [ RunTime:0.002250s ]
[ 2016-08-21T23:44:16+08:00 ] /testSkillMaster/index.php/Login/index | INFO: Tag[ app_begin ] --START--
[ 2016-08-21T23:44:16+08:00 ] /testSkillMaster/index.php/Login/index | INFO: Run ReadHtmlCache Behavior [ RunTime:0.001469s ]
[ 2016-08-21T23:44:16+08:00 ] /testSkillMaster/index.php/Login/index | INFO: Tag[ app_begin ] --END-- [ RunTime:0.001555s ]
[ 2016-08-21T23:44:16+08:00 ] /testSkillMaster/index.php/Login/index | INFO: Tag[ view_template ] --START--
[ 2016-08-21T23:44:16+08:00 ] /testSkillMaster/index.php/Login/index | INFO: Run LocationTemplate Behavior [ RunTime:0.002310s ]
[ 2016-08-21T23:44:16+08:00 ] /testSkillMaster/index.php/Login/index | INFO: Tag[ view_template ] --END-- [ RunTime:0.002424s ]
[ 2016-08-21T23:44:16+08:00 ] /testSkillMaster/index.php/Login/index | INFO: Tag[ view_parse ] --START--
[ 2016-08-21T23:44:17+08:00 ] /testSkillMaster/index.php/Login/index | INFO: Run ParseTemplate Behavior [ RunTime:0.018670s ]
[ 2016-08-21T23:44:17+08:00 ] /testSkillMaster/index.php/Login/index | INFO: Tag[ view_parse ] --END-- [ RunTime:0.018786s ]
[ 2016-08-21T23:44:17+08:00 ] /testSkillMaster/index.php/Login/index | INFO: Tag[ view_filter ] --START--
[ 2016-08-21T23:44:17+08:00 ] /testSkillMaster/index.php/Login/index | INFO: Run ContentReplace Behavior [ RunTime:0.001413s ]
[ 2016-08-21T23:44:17+08:00 ] /testSkillMaster/index.php/Login/index | INFO: Run TokenBuild Behavior [ RunTime:0.002065s ]
[ 2016-08-21T23:44:17+08:00 ] /testSkillMaster/index.php/Login/index | INFO: Run WriteHtmlCache Behavior [ RunTime:0.000980s ]
[ 2016-08-21T23:44:17+08:00 ] /testSkillMaster/index.php/Login/index | INFO: Run ShowRuntime Behavior [ RunTime:0.001192s ]
[ 2016-08-21T23:44:17+08:00 ] /testSkillMaster/index.php/Login/index | INFO: Tag[ view_filter ] --END-- [ RunTime:0.005910s ]
[ 2016-08-21T23:44:17+08:00 ] /testSkillMaster/index.php/Login/index | INFO: Tag[ view_end ] --START--
[ 2016-08-21T23:44:17+08:00 ] /testSkillMaster/index.php/Login/index | INFO: Run ShowPageTrace Behavior [ RunTime:0.001173s ]
[ 2016-08-21T23:44:17+08:00 ] /testSkillMaster/index.php/Login/index | INFO: Tag[ view_end ] --END-- [ RunTime:0.001256s ]
[ 2016-08-21T23:44:26+08:00 ] /testSkillMaster/index.php/Login/register | INFO: Tag[ route_check ] --START--
[ 2016-08-21T23:44:26+08:00 ] /testSkillMaster/index.php/Login/register | INFO: Run CheckRoute Behavior [ RunTime:0.002199s ]
[ 2016-08-21T23:44:26+08:00 ] /testSkillMaster/index.php/Login/register | INFO: Tag[ route_check ] --END-- [ RunTime:0.002345s ]
[ 2016-08-21T23:44:26+08:00 ] /testSkillMaster/index.php/Login/register | INFO: Tag[ app_begin ] --START--
[ 2016-08-21T23:44:26+08:00 ] /testSkillMaster/index.php/Login/register | INFO: Run ReadHtmlCache Behavior [ RunTime:0.001311s ]
[ 2016-08-21T23:44:26+08:00 ] /testSkillMaster/index.php/Login/register | INFO: Tag[ app_begin ] --END-- [ RunTime:0.001396s ]
[ 2016-08-21T23:44:26+08:00 ] /testSkillMaster/index.php/Login/register | INFO: Tag[ view_template ] --START--
[ 2016-08-21T23:44:26+08:00 ] /testSkillMaster/index.php/Login/register | INFO: Run LocationTemplate Behavior [ RunTime:0.002126s ]
[ 2016-08-21T23:44:26+08:00 ] /testSkillMaster/index.php/Login/register | INFO: Tag[ view_template ] --END-- [ RunTime:0.002250s ]
[ 2016-08-21T23:44:26+08:00 ] /testSkillMaster/index.php/Login/register | INFO: Tag[ view_parse ] --START--
[ 2016-08-21T23:44:26+08:00 ] /testSkillMaster/index.php/Login/register | INFO: Run ParseTemplate Behavior [ RunTime:0.017829s ]
[ 2016-08-21T23:44:26+08:00 ] /testSkillMaster/index.php/Login/register | INFO: Tag[ view_parse ] --END-- [ RunTime:0.017938s ]
